review,date,label
rat tot,"May 04, 2024",1
tốt,"May 04, 2024",1
concac,"May 04, 2024",1
momo làm_ăn rất tệ bộ_phận chăm_sóc hỗ_trợ khách_hàng tệ tài_khoản mình bị khoá nhờ hỗ_trợ thì kêu gửi hình và thông_tin cá_nhân lên đễ được hỗ_trợ xong cả tuần_lễ chưa thấy phản_hồi gọi lên tổng_đài thì lúc_nào cũng do số_lượng cuộc_gọi tăng cao không gọi được mn nên xài zalopay tốt hơn nha,"May 04, 2024",0
bảo_trì thì đặt lịch vào buổi khuya lúc ít người dùng ấy toàn bảo_trì vào sáng sớm thế_này lỡ dỡ bao công_việc,"May 04, 2024",1
cho tôi hỏi hệ_thống bảo_trì có nâu không vậy,"May 04, 2024",1
hãy cho thêm nhiều số tài_khoản,"May 04, 2024",0
app dùng mượt_mà,"May 04, 2024",1
có momo không lo hết tiền,"May 04, 2024",1
ok,"May 04, 2024",1
càng về sau càng đơ vô_thanh toán thì báo mất kết_nối wifi đừng nói là do điện_thoại tôi nhé một ứng_dụng ngu_ngốc,"May 04, 2024",0
ok,"May 04, 2024",1
giao_dịch thất_bại bị trừ tiền ngân_hàng ngày trời vẫn chưa thấy đâu điện thì cứ không được bảo gọi lại sau,"May 04, 2024",0
rất tốt sử_dụng rất tiện_lợi,"May 04, 2024",1
quá lag,"May 04, 2024",0
rất tuyệt_vời,"May 04, 2024",1
mng khi sử_dụng nên kt kỹ các hoạt_động thanh_toán hoàn tiền đặc_biệt là khi sử_dụng ví trả sau nếu không kt kỹ là mất tiền oan momo ăn_chặn tiền,"May 04, 2024",0
trường_hợp xảy ra sự_cố giao_dịch momo sẽ giải_thích momo chỉ là trung_gian thanh_toán và phủi sạch mọi trách_nhiệm mọi người nên cân_nhắc sử_dụng,"May 04, 2024",0
chuyển tiền lỗi kêu không thành_công thì hoàn tiền nhưng ngày rồi chưa thấy nhận hay hoàn tiền gì hết,"May 04, 2024",0
hàng tháng bị trừ điểm không biết lí_do gì mọi tháng điều đóng tiền lãi đầy_đủ mà vẫn bị trừ điểm tin_cậy,"May 03, 2024",0
momo coi_thường khách_hàng quá,"May 03, 2024",0
tot,"May 03, 2024",1
ok,"May 03, 2024",1
mẹ đợi xác_thực khuôn_mặt từ năm này qua năm nọ bực sao,"May 03, 2024",0
rât cần_thiết tiện_lợi,"May 03, 2024",1
tot,"May 03, 2024",1
chuyển tiền ngày chưa qua gọi tổng_đài thì cứ bắt đợi cứ đang xử_lí cứ làm_khó làm dễ,"May 03, 2024",0
dm nó hút máu nghỉ sao rút_tiền về tk liên_kết phí mấy trăm ngàn chuyển mấy trăm phí hơn ngàn đang không nuốt gần triệu tiền phí tởn xoá gấp,"May 03, 2024",0
trừ tiền cách vô_lý,"May 03, 2024",0
ok momo mãi đỉnh,"May 03, 2024",1
trải_nghiệm cũng tiện_lợi,"May 03, 2024",1
siêu ứng_dụng thanh_toán quá tuyệt_vời mong nhà_phát_triển làm cho momo nhẹ hơn cho máy yếu như mình,"May 03, 2024",1
quá được kuôn,"May 03, 2024",1
ok,"May 03, 2024",1
như conn cak,"May 03, 2024",0
tệ,"May 03, 2024",0
momo trai nghiem chuyen tien nhanh xu ly rat tuyet voi star star star star star,"May 03, 2024",1
hay,"May 03, 2024",1
quá tệ tk momo có tiền mà mua hàng chuyển khoảng lại báo số_dư không đủ trong khi đó có thừa nhắn_tin giải_quyết không giải_quyết điện_thoại thì máy bận vậy là hỗ_trợ dữ chưa chuyển khoảng tiền cũng không chuyển được báo lỗi mong giải_quyết sớm dùm chứ không_lẽ em không lấy tiền lại được positive,"May 03, 2024",0
tài_khoản bị bị lỗi các hoạt_động rút_tiền chuyển tiền thanh_toán dịch_vụ đều không được gửi báo_cáo ngày không phản_hồi gọi điện tổng_đài thì đường_dây bận,"May 03, 2024",0
nhập mật_khẩu mới không được,"May 03, 2024",0
app tiền_tệ mà tệ_hại quá,"May 03, 2024",0
app như negative chỉ biết ăn rồi bảo_trì thôi,"May 03, 2024",0
tiền thì trừ app không cập_nhật giao_dịch thành_công gửi không biết đi đâu rồi người nhận thì không nhận được tiền,"May 03, 2024",0
tuyet voi,"May 03, 2024",1
momo tàu mua lại ròi coi_chừng mất tiền nhé,"May 03, 2024",0
ứng_dụng tốt,"May 03, 2024",1
sài momo mấy năm nay xây dưng điểm tin_cậy cho thật tốt nhưng dạo này tháng gần đây liên_tục bị trừ điểm tin_cậy dù vẫn giao_dịch và thanh_toán đúng hạn hoá_đơn hằng tháng thật_sự quá thất_vọng về momo khi điểm tin_cậy bị trừ rất cao trong khi mỗi tháng chỉ tăng vài điểm phải_chăng dịch_vụ quá tệ khi thấy số điểm của người dùng cao nên trừ đi một_cách vô_lý mà không có bất_cứ lí_do nào chính đâng để trừ nên khai_tử đi là vừa,"May 03, 2024",0
gọi hỗ_trợ lần tốn cả mấy chục ngàn tiền điện_thoại mà không giải_quyết được gì,"May 03, 2024",0
lừa_đảo chương_trình khuyến_mãi chuyển cho người bạn và tôi chuyển đi thành_công thì chỉ được thưởng có mà trong đó giải khuyến_khích là giải nhì tr nhất_là chỉ vàng tr ít_nhất giải bét cũng phải chứ mà đằng này nó thưởng chỉ có dần mất uy_tín từ đây tôi sẽ không bao_giờ dùng momo nữa,"May 03, 2024",0
cẩnr thận momo trừ tiền mà không được cho_phép không hỏi ý_kiến người dùng,"May 03, 2024",0
momo lỏ,"May 03, 2024",0
không_thể cập_nhật xoá tải lại không tải được,"May 03, 2024",0
khá ổn_định,"May 03, 2024",1
rất được,"May 02, 2024",1
app như shịt đăng_nhập toàn bảo mất kết_nối trong khi wifi thì đầy,"May 02, 2024",0
rất tốt và uy_tín,"May 02, 2024",1
rút nhanh tiết_kiệm bảo_mật cao,"May 02, 2024",1
load mãi không xong đăng_nhập không được,"May 02, 2024",0
quá tuyệt,"May 02, 2024",1
đề_nghị nhà_phát_triển ứng_dụng nâng_cấp lẹ lẹ chức_năng thống_kê nâng cmn cấp gì lâu quá lâu rồi,"May 02, 2024",0
ok,"May 02, 2024",1
cho hỏi app này mấy tuổi dùng được,"May 02, 2024",1
quá tuyệt_vời,"May 02, 2024",1
momo buôn_bán sim cho họ kiêu nay giao mà sao không đúng vậy ai đâu nhà chờ tui công_việc nữa chứ,"May 02, 2024",0
bảo_mật kém,"May 02, 2024",0
ứng_dụng xài ngày_càng chậm và lag chăm_sóc khách_hàng quá kém khó_khăn trong việc liên_lạc với cskh không_thể liên_kết tài_khoản ngân_hàng dù phía ngân_hàng đã xác_thực thông_tin chính_xác và tài_khoản vẫn liên_kết với các app khác bình_thường trừ momo vấn để khách_hàng gặp phải không được giải_quyết đẩy trách_nhiệm cho phía ngân_hàng không nên sử_dụng ứng_dụng này nữa rác_rưởi tệ_hại,"May 02, 2024",0
bực thật có cái mật_khẩu xài bao_lâu giờ không đăng_nhập bằng vân tay thì bấm mật_khẩu lại sai lấy lại mật_khẩu thì không gửi otp gọi tổng_đài thì nói muốn banh cái nhà mà cứ lúc trả_lời lúc không,"May 02, 2024",0
rất hữu_ích,"May 02, 2024",1
momo ba mâ cao mọi ngươ tải vê du ng thư,"May 02, 2024",1
lỗi lag thường_xuyên,"May 02, 2024",0
chưa đủ tuổi nên không mở tài_khoản ngân_hàng trong tài_khoản cũng không được dùng định bịp,"May 02, 2024",0
hài_lòng,"May 02, 2024",1
đf,"May 02, 2024",1
chuyển tiền mà mất mấy ngày tiền ch qua app thì thông_báo hẹn_tới_hẹn_lui quảng cái cho cố rồi không làm được cái gì có nhiêu đó tiền mà cũng loiix lên lỗi xuống toàn lỗi mấy lúc mà thanh_toán tiernf cho shipper,"May 02, 2024",0
quá tệ,"May 02, 2024",0
nạp data đổi sdt rồi vẫn là sdt cũ nạp phí negative negative negative,"May 02, 2024",0
tự thanh_toán không qua khách_hàng,"May 02, 2024",0
nghỉ lễ xong rồi mà làm_ăn gì chán dữ vậy ck từ ngân_hàng về momo cho dễ thanh_toán mà momo không nhận được tiền trong khi ngân_hàng có lịch_sử giao_dịch đàng_hoàng và đã trừ tiền trong tk còn các lịch_sử giao_dịch khác thì vẫn nhận được bình_thường chất cho cskh thì con trợ_lý ảo cứ bị lag xong out khỏi ứng_dụng mãi chờ nhân_viên lâu kinh_khủng,"May 02, 2024",0
