review,label
rat tot,1
tốt,1
concac,1
momo làm_ăn rất tệ negative bộ_phận chăm_sóc hỗ_trợ khách_hàng tệ negative tài_khoản mình bị negative khoá nhờ hỗ_trợ thì kêu gửi hình và thông_tin cá_nhân lên đễ được positive hỗ_trợ xong cả tuần_lễ chưa thấy phản_hồi gọi lên tổng_đài thì lúc_nào cũng do số_lượng cuộc_gọi tăng cao không gọi được positive mn nên xài zalopay tốt positive hơn positive nha,0
bảo_trì thì đặt lịch vào buổi khuya lúc ít negative người dùng ấy toàn bảo_trì vào sáng positive sớm thế_này lỡ dỡ bao công_việc,1
cho tôi hỏi hệ_thống bảo_trì có nâu không vậy,1
hãy cho thêm nhiều số tài_khoản,0
app dùng mượt_mà,1
có momo không lo hết tiền,1
ok,1
càng về sau càng đơ negative vô_thanh toán thì báo mất kết_nối wifi đừng nói là do điện_thoại tôi nhé một ứng_dụng ngu_ngốc,0
ok,1
giao_dịch thất_bại bị negative trừ tiền ngân_hàng ngày trời vẫn chưa thấy đâu điện thì cứ không được positive bảo gọi lại sau,0
rất tốt positive sử_dụng rất tiện_lợi,1
quá lag,0
rất tuyệt_vời,1
mng khi sử_dụng nên kt kỹ positive các hoạt_động positive thanh_toán hoàn tiền đặc_biệt positive là khi sử_dụng ví trả sau nếu không kt kỹ positive là mất tiền oan momo ăn_chặn tiền,0
trường_hợp xảy ra sự_cố giao_dịch momo sẽ giải_thích momo chỉ là trung_gian thanh_toán và phủi sạch positive mọi trách_nhiệm mọi người nên cân_nhắc sử_dụng,0
chuyển tiền lỗi negative kêu không thành_công thì hoàn tiền nhưng ngày rồi chưa thấy nhận hay hoàn tiền gì hết,0
hàng tháng bị negative trừ điểm không biết positive lí_do gì mọi tháng điều đóng tiền lãi đầy_đủ mà vẫn bị negative trừ điểm tin_cậy positive,0
momo coi_thường khách_hàng quá,0
tot,1
ok,1
mẹ đợi xác_thực khuôn_mặt từ năm này qua năm nọ bực sao,0
rât cần_thiết positive tiện_lợi,1
tot,1
chuyển tiền ngày chưa qua gọi tổng_đài thì cứ bắt đợi cứ đang xử_lí cứ làm_khó làm dễ,0
dm nó hút máu nghỉ sao rút_tiền về tk liên_kết phí mấy trăm ngàn chuyển mấy trăm phí hơn ngàn đang không nuốt gần triệu tiền phí tởn xoá gấp,0
trừ tiền cách vô_lý,0
ok momo mãi đỉnh,1
trải_nghiệm cũng tiện_lợi,1
siêu ứng_dụng thanh_toán quá tuyệt_vời positive mong nhà_phát_triển làm cho momo nhẹ hơn cho máy yếu negative như mình,1
quá được positive kuôn,1
ok,1
như conn cak,0
tệ,0
momo trai nghiem chuyen tien nhanh xu ly rat tuyet voi star star star star star,1
hay,1
quá tệ negative tk momo có tiền mà mua hàng chuyển khoảng lại báo số_dư không đủ trong khi đó có thừa nhắn_tin giải_quyết không giải_quyết điện_thoại thì máy bận vậy là hỗ_trợ dữ chưa chuyển khoảng tiền cũng không chuyển được positive báo lỗi negative mong giải_quyết sớm dùm chứ không_lẽ em không lấy tiền lại được positive positive,0
tài_khoản bị negative bị negative lỗi negative các hoạt_động positive rút_tiền chuyển tiền thanh_toán dịch_vụ đều không được positive gửi báo_cáo ngày không phản_hồi gọi điện tổng_đài thì đường_dây bận,0
nhập mật_khẩu mới không được,0
app tiền_tệ mà tệ_hại negative quá,0
app như negative chỉ biết positive ăn rồi bảo_trì thôi,0
tiền thì trừ app không cập_nhật giao_dịch thành_công gửi không biết positive đi đâu rồi người nhận thì không nhận được positive tiền,0
tuyet voi,1
momo tàu mua lại ròi coi_chừng mất tiền nhé,0
ứng_dụng tốt,1
sài momo mấy năm nay xây dưng điểm tin_cậy positive cho thật tốt positive nhưng dạo này tháng gần đây liên_tục bị negative trừ điểm tin_cậy positive dù vẫn giao_dịch và thanh_toán đúng positive hạn hoá_đơn hằng tháng thật_sự quá thất_vọng negative về momo khi điểm tin_cậy positive bị negative trừ rất cao trong khi mỗi tháng chỉ tăng vài điểm phải_chăng dịch_vụ quá tệ negative khi thấy số điểm của người dùng cao nên trừ đi một_cách vô_lý mà không có bất_cứ lí_do nào chính đâng để trừ nên khai_tử đi là vừa,0
gọi hỗ_trợ lần tốn cả mấy chục ngàn tiền điện_thoại mà không giải_quyết được positive gì,0
lừa_đảo chương_trình khuyến_mãi chuyển cho người bạn và tôi chuyển đi thành_công thì chỉ được positive thưởng có mà trong đó giải khuyến_khích positive là giải nhì tr nhất_là chỉ vàng tr ít_nhất giải bét cũng phải chứ mà đằng này nó thưởng chỉ có dần mất uy_tín positive từ đây tôi sẽ không bao_giờ dùng momo nữa,0
cẩnr thận momo trừ tiền mà không được positive cho_phép không hỏi ý_kiến người dùng,0
momo lỏ,0
không_thể cập_nhật xoá tải lại không tải được,0
khá ổn_định,1
rất được,1
app như shịt đăng_nhập toàn bảo mất kết_nối trong khi wifi thì đầy,0
rất tốt positive và uy_tín,1
rút nhanh tiết_kiệm positive bảo_mật cao,1
load mãi không xong đăng_nhập không được,0
quá tuyệt,1
đề_nghị nhà_phát_triển ứng_dụng nâng_cấp lẹ lẹ chức_năng thống_kê nâng cmn cấp gì lâu negative quá lâu negative rồi,0
ok,1
cho hỏi app này mấy tuổi dùng được,1
quá tuyệt_vời,1
momo buôn_bán sim cho họ kiêu nay giao mà sao không đúng positive vậy ai đâu nhà chờ tui công_việc nữa chứ,0
bảo_mật kém,0
ứng_dụng xài ngày_càng chậm negative và lag chăm_sóc khách_hàng quá kém negative khó_khăn negative trong việc liên_lạc với cskh không_thể liên_kết tài_khoản ngân_hàng dù phía ngân_hàng đã xác_thực thông_tin chính_xác positive và tài_khoản vẫn liên_kết với các app khác bình_thường trừ momo vấn để khách_hàng gặp phải không được positive giải_quyết đẩy trách_nhiệm cho phía ngân_hàng không nên sử_dụng ứng_dụng này nữa rác_rưởi tệ_hại negative,0
bực thật có cái mật_khẩu xài bao_lâu giờ không đăng_nhập bằng vân tay thì bấm mật_khẩu lại sai negative lấy lại mật_khẩu thì không gửi otp gọi tổng_đài thì nói muốn banh cái nhà mà cứ lúc trả_lời lúc không,0
rất hữu_ích,1
momo ba mâ cao mọi ngươ tải vê du ng thư,1
lỗi lag thường_xuyên,0
chưa đủ tuổi nên không mở tài_khoản ngân_hàng trong tài_khoản cũng không được positive dùng định bịp,0
hài_lòng,1
đf,1
chuyển tiền mà mất mấy ngày tiền ch qua app thì thông_báo hẹn_tới_hẹn_lui quảng cái cho cố rồi không làm được positive cái gì có nhiêu đó tiền mà cũng loiix lên lỗi negative xuống toàn lỗi negative mấy lúc mà thanh_toán tiernf cho shipper,0
quá tệ negative,0
nạp data đổi sdt rồi vẫn là sdt cũ nạp phí negative negative negative,0
tự thanh_toán không qua khách_hàng,0
nghỉ lễ xong rồi mà làm_ăn gì chán negative dữ vậy ck từ ngân_hàng về momo cho dễ thanh_toán mà momo không nhận được positive tiền trong khi ngân_hàng có lịch_sử giao_dịch đàng_hoàng và đã trừ tiền trong tk còn các lịch_sử giao_dịch khác thì vẫn nhận được positive bình_thường chất cho cskh thì con trợ_lý ảo cứ bị negative lag xong out khỏi ứng_dụng mãi chờ nhân_viên lâu negative kinh_khủng,0
tốt,1
càng_ngày_càng tệ negative momo có chức_năng ưu_việt nhất là nạp tiền miễn_phí positive thì bỏ không cho nữa chán negative không muốn dùng luôn,0
báo cập_nhật cmnd gắn chip mà quét nfc thì cứ báo lỗi negative app vneid thì quét phà phà đã là app về tiền_bạc thì nên ổn_định positive một_chút kéo có ngày bị negative hack bay sạch positive tiền,0
rất uy_tín,1
quá thất_vọng negative đổi điện_thoại đăng_nhập không được positive,0
một trải_nghiệm thật là tệ negative khi phải sử_dụng ví momo khuyên là đừng nên dùng cảm_ơn positive,0
thật_sự trải_nghiệm về momo đáng thất_vọng negative không thực_hiện đúng positive thứ_tự ưu_tiên nguồn tiền thanh_toán tự_động sử_dụng ví trả sau có âm_mưu bẫy tin dụng với khách_hàng hay không thì chưa biết positive thanh_toán nợ ví trả sau thì thấy vẫn báo nợ mặc_dù đã trừ vào tài_khoản yêu_cầu hỗ_trợ thì gần tròn tuần làm_việc nhưng không có kết_quả có_lẽ nên nghĩ đến vn pay hoặc zalo pay viettel pay hoặc vnpt pay nếu có thang không hài_lòng positive thì tôi chấm tối_đa không hài_lòng positive,0
chất_lượng rất tốt positive positive,1
momo chỉ nên để vài trăm đến tr để_dành nạp tiền đt thanh_toán mấy cái nhỏ negative nhỏ negative thôi cần chuyển tiền lớn positive thì phí quá cao tr hết hơn tiền phí quá mắc negative chơi ngu negative lần rồi thôi lần sau để tiền trong ngân_hàng cho lành,0
rất hài_lòng,1
cung nhanh le nha mn,1
vừa cài_đặt xong bắt cập_nhật,0
áp mo mo bảo_mật tiền rất tốt positive nha positive positive,1
đăng_ký xong trả thấy nhận được positive cái gì lừa_đảo,0
giao_dịch suốt ngày thất_bại không hiểu mở ví làm gì đã thế các ưu_đãi thì ít negative giới_hạn,0
app như cái negative xác_thực otp đéu gửi mã đéu liên_hệ được positive tổng_đài bố mày mà rút hết tiền về thẻ thì tao delete cmm luôn,0
ok,1
